condition,episodes,mean_return,mean_length,success_rate,recovery_rate,mean_x_displacement,mean_abs_y_displacement,mean_post_push_x_displacement,mean_forward_score
no_push,5,2008.432069,899.60,0.8000,0.8000,57.821922,2.854468,39.330456,57.251029
+x_100,5,801.197890,307.60,0.0000,0.0000,25.501056,1.945534,19.821408,25.111949
-x_100,5,519.707419,307.40,0.0000,0.0000,11.427754,1.566651,10.362894,11.114423
+y_100,5,653.427690,306.00,0.0000,0.0000,18.183888,2.296716,18.183888,17.724545
-y_100,5,657.696454,306.00,0.0000,0.0000,18.400197,5.856394,18.400197,17.228918
+x_200,5,768.210455,304.80,0.0000,0.0000,23.979760,1.894327,23.979760,23.600894
-x_200,5,560.957757,304.40,0.0000,0.0000,13.632513,1.586651,13.632513,13.315183
+y_200,5,648.966665,303.60,0.0000,0.0000,18.070982,1.286150,18.070982,17.813752
-y_200,5,662.205518,307.00,0.0000,0.0000,18.577397,16.530309,14.400490,15.271335
+x_300,5,746.520037,303.60,0.0000,0.0000,22.949448,1.826014,22.949448,22.584245
-x_300,5,574.439501,303.20,0.0000,0.0000,14.362632,1.597259,14.362632,14.043180
+y_300,5,647.713838,302.80,0.0000,0.0000,18.045870,1.036380,18.045870,17.838594
-y_300,5,661.273419,306.00,0.0000,0.0000,18.577654,17.361263,18.577654,15.105402
